crystal	xmetric	ymetric	xindex	yindex	
0	-587.5	-587.5	0	0	
1	-562.5	-587.5	1	0	
2	-537.5	-587.5	2	0	
3	-512.5	-587.5	3	0	
4	-487.5	-587.5	4	0	
5	-462.5	-587.5	5	0	
6	-437.5	-587.5	6	0	
7	-412.5	-587.5	7	0	
8	-387.5	-587.5	8	0	
9	-362.5	-587.5	9	0	
10	-337.5	-587.5	10	0	
11	-312.5	-587.5	11	0	
12	-287.5	-587.5	12	0	
13	-262.5	-587.5	13	0	
14	-237.5	-587.5	14	0	
15	-212.5	-587.5	15	0	
16	-187.5	-587.5	16	0	
17	-162.5	-587.5	17	0	
18	-137.5	-587.5	18	0	
19	-112.5	-587.5	19	0	
20	-87.5	-587.5	20	0	
21	-62.5	-587.5	21	0	
22	-37.5	-587.5	22	0	
23	-12.5	-587.5	23	0	
24	12.5	-587.5	24	0	
25	37.5	-587.5	25	0	
26	62.5	-587.5	26	0	
27	87.5	-587.5	27	0	
28	112.5	-587.5	28	0	
29	137.5	-587.5	29	0	
30	162.5	-587.5	30	0	
31	187.5	-587.5	31	0	
32	212.5	-587.5	32	0	
33	237.5	-587.5	33	0	
34	262.5	-587.5	34	0	
35	287.5	-587.5	35	0	
36	312.5	-587.5	36	0	
37	337.5	-587.5	37	0	
38	362.5	-587.5	38	0	
39	387.5	-587.5	39	0	
40	412.5	-587.5	40	0	
41	437.5	-587.5	41	0	
42	462.5	-587.5	42	0	
43	487.5	-587.5	43	0	
44	512.5	-587.5	44	0	
45	537.5	-587.5	45	0	
46	562.5	-587.5	46	0	
47	587.5	-587.5	47	0	
48	-587.5	-562.5	0	1	
49	-562.5	-562.5	1	1	
50	-537.5	-562.5	2	1	
51	-512.5	-562.5	3	1	
52	-487.5	-562.5	4	1	
53	-462.5	-562.5	5	1	
54	-437.5	-562.5	6	1	
55	-412.5	-562.5	7	1	
56	-387.5	-562.5	8	1	
57	-362.5	-562.5	9	1	
58	-337.5	-562.5	10	1	
59	-312.5	-562.5	11	1	
60	-287.5	-562.5	12	1	
61	-262.5	-562.5	13	1	
62	-237.5	-562.5	14	1	
63	-212.5	-562.5	15	1	
64	-187.5	-562.5	16	1	
65	-162.5	-562.5	17	1	
66	-137.5	-562.5	18	1	
67	-112.5	-562.5	19	1	
68	-87.5	-562.5	20	1	
69	-62.5	-562.5	21	1	
70	-37.5	-562.5	22	1	
71	-12.5	-562.5	23	1	
72	12.5	-562.5	24	1	
73	37.5	-562.5	25	1	
74	62.5	-562.5	26	1	
75	87.5	-562.5	27	1	
76	112.5	-562.5	28	1	
77	137.5	-562.5	29	1	
78	162.5	-562.5	30	1	
79	187.5	-562.5	31	1	
80	212.5	-562.5	32	1	
81	237.5	-562.5	33	1	
82	262.5	-562.5	34	1	
83	287.5	-562.5	35	1	
84	312.5	-562.5	36	1	
85	337.5	-562.5	37	1	
86	362.5	-562.5	38	1	
87	387.5	-562.5	39	1	
88	412.5	-562.5	40	1	
89	437.5	-562.5	41	1	
90	462.5	-562.5	42	1	
91	487.5	-562.5	43	1	
92	512.5	-562.5	44	1	
93	537.5	-562.5	45	1	
94	562.5	-562.5	46	1	
95	587.5	-562.5	47	1	
96	-587.5	-537.5	0	2	
97	-562.5	-537.5	1	2	
98	-537.5	-537.5	2	2	
99	-512.5	-537.5	3	2	
100	-487.5	-537.5	4	2	
101	-462.5	-537.5	5	2	
102	-437.5	-537.5	6	2	
103	-412.5	-537.5	7	2	
104	-387.5	-537.5	8	2	
105	-362.5	-537.5	9	2	
106	-337.5	-537.5	10	2	
107	-312.5	-537.5	11	2	
108	-287.5	-537.5	12	2	
109	-262.5	-537.5	13	2	
110	-237.5	-537.5	14	2	
111	-212.5	-537.5	15	2	
112	-187.5	-537.5	16	2	
113	-162.5	-537.5	17	2	
114	-137.5	-537.5	18	2	
115	-112.5	-537.5	19	2	
116	-87.5	-537.5	20	2	
117	-62.5	-537.5	21	2	
118	-37.5	-537.5	22	2	
119	-12.5	-537.5	23	2	
120	12.5	-537.5	24	2	
121	37.5	-537.5	25	2	
122	62.5	-537.5	26	2	
123	87.5	-537.5	27	2	
124	112.5	-537.5	28	2	
125	137.5	-537.5	29	2	
126	162.5	-537.5	30	2	
127	187.5	-537.5	31	2	
128	212.5	-537.5	32	2	
129	237.5	-537.5	33	2	
130	262.5	-537.5	34	2	
